Date,Adj Close,Volume,NIFTY Open,Stock Open price
2/23/2016,123.810776,1008099,7240.299805,126.050003
2/24/2016,124.008232,417779,7075,126
2/25/2016,123.761398,185422,7029.850098,127.199997
2/26/2016,125.933525,469977,7039.299805,128
2/29/2016,124.106956,483355,7050.450195,126.349998
3/1/2016,129.784103,969611,7038.25,131.800003
3/2/2016,130.524597,525338,7321.700195,132.25
3/3/2016,133.437195,407600,7429.549805,135
3/4/2016,136.547302,549822,7505.399902,137.699997
3/8/2016,135.214371,325374,7486.399902,136
3/9/2016,136.053635,204196,7436.100098,137.899994
3/10/2016,133.585312,256018,7545.350098,135
3/11/2016,130.277756,264522,7484.850098,133.100006
3/14/2016,129.241058,350403,7542.600098,131.550003
3/15/2016,127.36515,332398,7535.850098,128.600006
3/16/2016,127.562599,167626,7457.049805,132.25
3/17/2016,130.672714,357749,7557.399902,132.350006
3/18/2016,129.784103,192606,7534.649902,131.800003
3/21/2016,133.190369,401204,7619.200195,135.300003
3/22/2016,134.276428,532250,7695.549805,135.899994
3/23/2016,138.02829,1035095,7717.450195,140.5
3/28/2016,134.473907,686712,7741,137
3/29/2016,135.905502,369066,7606.549805,140.5
3/30/2016,138.176361,517751,7651.100098,139.25
3/31/2016,137.485245,269793,7727.649902,138.149994
4/1/2016,137.633331,1767055,7718.049805,140.350006
4/4/2016,143.705399,1382938,7733.149902,144.300003
4/5/2016,140.496597,576934,7736.299805,143.050003
4/6/2016,148.395218,1986143,7636.049805,151
4/7/2016,146.963593,1257748,7630.399902,149.5
4/8/2016,151.209076,690799,7542.350098,153
4/11/2016,151.209076,475617,7577.799805,155.699997
4/12/2016,167.105042,5883465,7669.25,170.899994
4/13/2016,166.463287,1954199,7777.149902,169.5
4/18/2016,168.980957,1271748,7908.149902,172.199997
4/20/2016,170.659439,948254,7950.049805,173.300003
4/21/2016,166.660736,869436,7953.649902,168
4/22/2016,165.920258,446711,7891.799805,169.050003
4/25/2016,164.537979,427774,7894.799805,166.649994
4/26/2016,165.525314,440518,7828.149902,168.5
4/27/2016,169.869568,1008949,7942,171.899994
4/28/2016,168.240463,821697,7967.399902,170.5
4/29/2016,167.105042,484445,7844.25,168.850006
5/2/2016,171.350571,2031675,7822.700195,174.25
5/3/2016,169.227798,997841,7824.799805,170.550003
5/4/2016,163.106369,526508,7724.149902,166.050003
5/5/2016,162.267151,588509,7731,164
5/6/2016,164.291153,439481,7717.649902,167
5/9/2016,168.980957,712334,7755.25,171.5
